Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,1280.000000,1317.500000,1280.000000,1312.699951,1300.700684,1729499
2019-02-15,1312.400024,1312.599976,1275.000000,1300.849976,1288.958862,1250051
2019-02-18,1300.050049,1346.500000,1300.050049,1337.949951,1325.719849,2136235
2019-02-19,1340.150024,1368.000000,1333.000000,1341.300049,1329.039307,2557102
2019-02-20,1341.099976,1350.599976,1285.199951,1292.500000,1280.685303,2797395
2019-02-21,1295.000000,1327.900024,1293.199951,1316.300049,1304.267822,2061410
2019-02-22,1305.000000,1313.250000,1289.000000,1295.199951,1283.360474,2708759
2019-02-25,1302.000000,1313.500000,1264.000000,1268.650024,1257.053467,2547385
2019-02-26,1263.000000,1279.000000,1245.750000,1273.400024,1261.760010,2064924
2019-02-27,1287.000000,1293.500000,1265.000000,1272.050049,1260.422363,1467199
2019-02-28,1281.000000,1297.000000,1263.250000,1268.750000,1257.152344,2239670
2019-03-01,1277.000000,1282.150024,1267.500000,1276.750000,1265.079224,1089400
2019-03-05,1276.000000,1287.949951,1261.250000,1274.250000,1262.602173,1676607
2019-03-06,1289.900024,1334.000000,1275.000000,1327.250000,1315.117676,3292385
2019-03-07,1339.000000,1360.800049,1316.000000,1326.199951,1314.077148,2296736
2019-03-08,1327.199951,1347.900024,1315.099976,1339.599976,1327.354736,1357561
2019-03-11,1347.000000,1375.000000,1341.000000,1371.849976,1359.309937,1563403
2019-03-12,1380.099976,1384.000000,1343.300049,1349.900024,1337.560669,1673508
2019-03-13,1355.000000,1355.000000,1321.000000,1325.650024,1313.532227,1308577
2019-03-14,1322.000000,1369.000000,1314.400024,1331.599976,1319.427856,3670164
2019-03-15,1349.750000,1358.699951,1332.099976,1343.199951,1330.921875,1805206
2019-03-18,1356.400024,1393.500000,1345.050049,1387.300049,1374.618774,2090717
2019-03-19,1404.000000,1430.000000,1390.000000,1398.750000,1385.964111,4380553
2019-03-20,1406.000000,1420.000000,1395.000000,1400.349976,1387.549438,1897603
2019-03-22,1405.900024,1438.000000,1405.000000,1430.400024,1417.324707,2528661
2019-03-25,1432.000000,1459.900024,1427.050049,1454.699951,1441.402588,2834818
2019-03-26,1461.000000,1470.000000,1442.000000,1466.599976,1453.193848,2429883
2019-03-27,1466.000000,1469.449951,1443.099976,1446.599976,1433.376587,1104984
2019-03-28,1444.599976,1466.650024,1437.500000,1459.400024,1446.059692,1449362
2019-04-01,1456.000000,1487.699951,1448.400024,1460.300049,1446.951416,1403371
2019-04-02,1458.000000,1474.699951,1431.000000,1441.199951,1428.026001,1061727
2019-04-03,1448.449951,1461.000000,1419.000000,1423.150024,1410.140991,907675
2019-04-04,1428.199951,1442.900024,1420.099976,1432.849976,1419.752319,989402
2019-04-05,1437.000000,1444.250000,1413.000000,1417.599976,1404.641724,944826
2019-04-08,1424.900024,1437.500000,1413.550049,1427.699951,1414.649414,820538
2019-04-09,1428.949951,1433.000000,1405.500000,1429.550049,1416.482666,863852
2019-04-10,1428.000000,1433.949951,1405.599976,1409.650024,1396.764526,675075
2019-04-11,1409.000000,1416.300049,1370.000000,1375.300049,1362.728394,1424371
2019-04-12,1378.400024,1380.949951,1348.250000,1361.500000,1349.054688,1543838
2019-04-15,1366.000000,1384.849976,1366.000000,1370.400024,1357.873169,1112285
2019-04-16,1377.000000,1394.750000,1362.099976,1381.150024,1368.525024,1270729
2019-04-18,1387.000000,1391.550049,1340.750000,1345.150024,1332.854126,1322271
2019-04-22,1340.750000,1348.000000,1324.000000,1331.050049,1318.882935,746341
2019-04-23,1323.000000,1349.000000,1311.199951,1316.099976,1304.069580,959140
2019-04-24,1320.000000,1334.000000,1307.199951,1317.000000,1304.961304,967476
2019-04-25,1327.000000,1354.900024,1321.000000,1327.900024,1315.761841,1153973
2019-04-26,1336.150024,1354.900024,1332.199951,1342.800049,1330.525635,1307231
2019-04-30,1341.599976,1341.599976,1310.050049,1328.500000,1316.356201,896668
2019-05-02,1329.699951,1364.400024,1311.250000,1345.900024,1333.597168,1497573
2019-05-03,1345.949951,1362.949951,1320.300049,1326.349976,1314.225830,1035518
2019-05-06,1317.000000,1326.699951,1290.500000,1299.849976,1287.968018,1133655
2019-05-07,1305.000000,1320.000000,1277.400024,1282.250000,1270.529053,1309419
2019-05-08,1272.000000,1276.550049,1241.849976,1262.449951,1250.910034,1039517
2019-05-09,1266.000000,1278.000000,1253.250000,1268.800049,1257.202026,646016
2019-05-10,1278.800049,1294.800049,1258.800049,1264.500000,1252.941162,892408
2019-05-13,1269.949951,1269.949951,1237.050049,1242.599976,1231.241333,746458
2019-05-14,1243.699951,1247.500000,1191.099976,1201.949951,1190.963013,1453766
2019-05-15,1205.699951,1254.000000,1186.050049,1242.500000,1231.142334,5410938
2019-05-16,1246.000000,1256.750000,1222.099976,1244.650024,1233.272827,3105297
2019-05-17,1251.000000,1278.000000,1240.000000,1273.550049,1261.908569,2528036
2019-05-20,1313.000000,1320.500000,1274.000000,1309.150024,1297.183105,1557849
2019-05-21,1315.000000,1345.250000,1288.599976,1301.199951,1289.305786,1488073
2019-05-22,1309.800049,1318.400024,1275.349976,1284.400024,1272.659424,1180657
2019-05-23,1310.000000,1316.349976,1284.000000,1294.250000,1282.419189,1066238
2019-05-24,1302.150024,1329.750000,1260.300049,1316.949951,1304.911743,1949400
2019-05-27,1296.000000,1339.900024,1296.000000,1333.949951,1321.756348,1149698
2019-05-28,1337.699951,1365.000000,1326.000000,1339.550049,1327.305298,1163984
2019-05-29,1336.000000,1346.400024,1318.449951,1324.949951,1312.838623,690582
2019-05-30,1329.000000,1342.849976,1315.849976,1321.599976,1309.519287,616609
2019-05-31,1327.650024,1342.500000,1295.849976,1307.550049,1295.597900,963944
2019-06-03,1306.099976,1351.849976,1305.050049,1342.500000,1330.228271,1350568
2019-06-04,1343.000000,1370.349976,1340.000000,1357.099976,1344.694702,1412660
2019-06-06,1362.500000,1363.349976,1323.949951,1329.199951,1317.049805,1031567
2019-06-07,1337.000000,1338.800049,1295.000000,1314.400024,1302.385132,823498
2019-06-10,1322.400024,1358.300049,1320.000000,1352.500000,1340.136841,1176034
2019-06-11,1356.500000,1364.800049,1316.500000,1323.199951,1311.104614,1668330
2019-06-12,1322.900024,1337.750000,1312.000000,1332.800049,1320.616943,668231
2019-06-13,1328.599976,1332.400024,1300.050049,1326.349976,1314.225830,693396
2019-06-14,1321.000000,1343.949951,1300.000000,1305.500000,1293.566406,854315
2019-06-17,1311.949951,1318.400024,1270.300049,1277.949951,1266.268311,1099851
2019-06-18,1280.000000,1280.000000,1253.349976,1269.599976,1257.994629,1011686
2019-06-19,1279.699951,1289.000000,1253.300049,1260.300049,1248.779663,902844
